2022-04-15T05:49:18+00:00 CRITICAL syntax error, unexpected '?', expecting end of file in C:\xampp\htdocs\little\wp-content\themes\flatsome\functions.php on line 15

2022-04-15T05:49:22+00:00 CRITICAL syntax error, unexpected '?', expecting end of file in C:\xampp\htdocs\little\wp-content\themes\flatsome\functions.php on line 15

2022-04-15T05:54:13+00:00 CRITICAL syntax error, unexpected '<' in C:\xampp\htdocs\little\wp-content\themes\flatsome\functions.php on line 16

2022-04-15T05:54:23+00:00 CRITICAL syntax error, unexpected '<' in C:\xampp\htdocs\little\wp-content\themes\flatsome\functions.php on line 16

2022-04-15T05:54:30+00:00 CRITICAL syntax error, unexpected '<' in C:\xampp\htdocs\little\wp-content\themes\flatsome\functions.php on line 17

2022-04-15T05:54:36+00:00 CRITICAL syntax error, unexpected '<' in C:\xampp\htdocs\little\wp-content\themes\flatsome\functions.php on line 17

2022-04-15T05:55:12+00:00 CRITICAL syntax error, unexpected '<' in C:\xampp\htdocs\little\wp-content\themes\flatsome\functions.php on line 17

2022-04-15T05:55:14+00:00 CRITICAL syntax error, unexpected '<' in C:\xampp\htdocs\little\wp-content\themes\flatsome\functions.php on line 17

2022-04-15T05:55:24+00:00 CRITICAL syntax error, unexpected '<' in C:\xampp\htdocs\little\wp-content\themes\flatsome\functions.php on line 17

2022-04-15T05:55:41+00:00 CRITICAL syntax error, unexpected '<' in C:\xampp\htdocs\little\wp-content\themes\flatsome\functions.php on line 17

2022-04-15T05:55:55+00:00 CRITICAL syntax error, unexpected '<' in C:\xampp\htdocs\little\wp-content\themes\flatsome\functions.php on line 16

2022-04-15T05:56:18+00:00 CRITICAL syntax error, unexpected '<' in C:\xampp\htdocs\little\wp-content\themes\flatsome\functions.php on line 16

2022-04-15T05:57:05+00:00 CRITICAL syntax error, unexpected '<' in C:\xampp\htdocs\little\wp-content\themes\flatsome\functions.php on line 16

2022-04-15T05:58:02+00:00 CRITICAL syntax error, unexpected end of file in C:\xampp\htdocs\little\wp-content\themes\flatsome\functions.php on line 35

2022-04-15T05:58:34+00:00 CRITICAL syntax error, unexpected end of file in C:\xampp\htdocs\little\wp-content\themes\flatsome\functions.php on line 35

2022-04-15T05:58:38+00:00 CRITICAL syntax error, unexpected end of file in C:\xampp\htdocs\little\wp-content\themes\flatsome\functions.php on line 35

2022-04-15T05:58:45+00:00 CRITICAL syntax error, unexpected end of file in C:\xampp\htdocs\little\wp-content\themes\flatsome\functions.php on line 35

2022-04-15T05:59:00+00:00 CRITICAL syntax error, unexpected end of file in C:\xampp\htdocs\little\wp-content\themes\flatsome\functions.php on line 35

2022-04-15T06:40:34+00:00 CRITICAL syntax error, unexpected 'vnd' (T_STRING), expecting ';' or ',' in C:\xampp\htdocs\little\wp-content\themes\flatsome\functions.php on line 36

